,passed
343,CDZI
344,CECE
345,CEIX
346,CELC
347,CELH
348,CENT
349,CENTA
350,CENX
351,CERC
352,CERS
353,CETV
354,CEVA
355,CFB
356,CFFI
357,CFFN
358,CFMS
359,CHAP
360,CHCO
361,CHCT
362,CHDN
363,CHEF
364,CHGG
365,CHMA
366,CHMG
367,CHMI
368,CHRA
369,CHRS
370,CHS
371,CHUY
372,CIA
373,CIO
374,CIR
375,CISN
376,CIVB
377,CIX
378,CKH
379,CKPT
380,CLAR
381,CLBK
382,CLCT
383,CLDR
384,CLDT
385,CLF
386,CLFD
387,CLI
388,CLNC
389,CLNE
390,CLPR
391,CLVS
392,CLW
393,CLXT
394,CMBM
395,CMC
396,CMCO
397,CMCT
398,CMLS
399,CMO
400,CMP
401,CMPR
402,CMRE
403,CMRX
404,CMTL
405,CNBKA
406,CNCE
407,CNDT
408,CNMD
409,CNNE
410,CNO
411,CNOB
412,CNR
413,CNS
414,CNSL
415,CNST
416,CNTY
417,CNX
418,CNXN
419,CODA
420,COHU
421,COKE
422,COLB
423,COLL
424,CONN
425,COOP
426,CORE
427,CORR
428,CORT
429,COWN
430,CPE
431,CPF
432,CPK
433,CPLG
434,CPRX
435,CPS
436,CPSI
437,CRAI
438,CRBP
439,CRC
440,CRCM
441,CRK
442,CRMD
443,CRMT
444,CRNX
445,CROX
446,CRS
447,CRTX
448,CRUS
449,CRVL
450,CRY
451,CSFL
452,CSGS
453,CSII
454,CSLT
455,CSOD
456,CSTE
457,CSTL
458,CSTR
459,CSV
460,CSWI
461,CTB
462,CTBI
463,CTMX
464,CTO
465,CTRA
466,CTRC
467,CTRE
468,CTRN
469,CTS
470,CTSO
471,CTT
472,CUB
473,CUBI
474,CUE
475,CULP
476,CURO
477,CUTR
478,CVA
479,CVBF
480,CVCO
481,CVCY
482,CVGI
483,CVGW
484,CVI
485,CVIA
486,CVLT
487,CVLY
488,CVM
489,CVTI
490,CWCO
491,CWEN
492,CWH
493,CWK
494,CWST
495,CWT
496,CXW
497,CYCN
498,CYH
499,CYRX
500,CYTK
501,CZNC
502,DAN
503,DAR
504,DBD
505,DBI
506,DCO
507,DCOM
508,DCPH
509,DDD
510,DDS
511,DEA
512,DECK
513,DENN
514,DERM
515,DFIN
516,DGICA
517,DGII
518,DHIL
519,DHT
520,DHX
521,DIN
522,DIOD
523,DJCO
524,DK
525,DLA
526,DLTH
527,DLX
528,DMRC
529,DNLI
530,DNOW
531,DNR
532,DO
533,DOC
534,DOMO
535,DOOR
536,DORM
537,DPLO
538,DRH
539,DRNA
540,DRQ
541,DS
542,DSKE
543,DSPG
544,DSSI
545,DTIL
546,DVAX
547,DX
548,DXPE
549,DY
550,DZSI
551,EAT
552,EB
553,EBF
554,EBIX
555,EBS
556,EBSB
557,EBTC
558,ECHO
559,ECOL
560,ECOM
561,ECOR
562,ECPG
563,EDIT
564,EE
565,EEX
566,EFC
567,EFSC
568,EGAN
569,EGBN
570,EGHT
571,EGLE
572,EGOV
573,EGP
574,EGRX
575,EHTH
576,EIDX
577,EIG
578,EIGI
579,EIGR
580,ELF
581,ELOX
582,ELVT
583,ELY
584,EME
585,EML
586,ENDP
587,ENOB
588,ENPH
589,ENS
590,ENSG
591,ENTA
592,ENV
593,ENVA
594,ENZ
595,EOLS
596,EPAY
597,EPC
598,EPM
599,EPRT
600,EPZM
601,EQBK
602,ERA
603,ERI
604,ERII
605,EROS
606,ESCA
607,ESE
608,ESGR
609,ESNT
610,ESPR
611,ESQ
612,ESSA
613,ESTE
614,ESXB
615,ETH
616,ETM
617,EVBG
618,EVBN
619,EVC
620,EVER
621,EVFM
622,EVH
623,EVI
624,EVLO
625,EVOP
626,EVRI
627,EVTC
628,EXLS
629,EXPI
630,EXPO
631,EXPR
632,EXTN
633,EXTR
634,EYE
635,EYPT
636,EZPW
637,FARM
638,FARO
639,FATE
640,FBC
641,FBIZ
642,FBK
643,FBM
644,FBMS
645,FBNC
646,FBP
647,FC
648,FCAP
649,FCBC
650,FCBP
651,FCCY
652,FCF
653,FCFS
654,FCN
655,FCPT
656,FDBC
657,FDEF
658,FDP
659,FELE
660,FET
661,FF
662,FFBC
663,FFG
664,FFIC
665,FFIN
666,FFNW
667,FFWM
668,FG
669,FGBI
670,FGEN
671,FI
672,FIBK
673,FII
674,FISI
675,FIT
676,FIVN
677,FIX
678,FIXX
679,FIZZ
680,FLDM
681,FLIC
682,FLMN
683,FLNT
684,FLOW
685,FLWS
686,FLXN
687,FLXS
688,FMAO
689,FMBH
690,FMBI
691,FMNB
692,FN
693,FNCB
694,FNHC
695,FNKO
696,FNLC
697,FNWB
698,FOCS
699,FOE
700,FOLD
701,FOR
702,FORM
703,FORR
704,FOSL
705,FOXF
706,FPI
707,FPRX
708,FR
709,FRAF
710,FRBA
711,FRBK
712,FRGI
713,FRME
714,FRPH
715,FRPT
716,FRTA
717,FSB
718,FSBW
719,FSCT
720,FSP
721,FSS
722,FSTR
723,FTK
724,FTR
725,FTSI
726,FTSV
727,FUL
728,FULC
729,FULT
730,FVCB
731,FWRD
732,GABC
733,GAIA
734,GALT
735,GATX
736,GBCI
737,GBL
738,GBLI
739,GBT
740,GBX
741,GCAP
742,GCBC
743,GCI
744,GCO
745,GCP
746,GDEN
747,GDOT
748,GDP
749,GEF
750,GEN
751,GENC
752,GEO
753,GEOS
754,GERN
755,GES
756,GFF
757,GFN
758,GHL
759,GHM
760,GIII
761,GKOS
762,GLDD
763,GLNG
764,GLOG
765,GLRE
766,GLT
767,GLUU
768,GLYC
769,GME
770,GMED
771,GMRE
772,GMS
773,GNC
774,GNE
775,GNK
776,GNL
777,GNLN
778,GNMK
779,GNRC
780,GNTY
781,GNW
782,GOGO
783,GOLF
784,GOOD
785,GORO
786,GOSS
787,GPI
788,GPMT
789,GPOR
790,GPRE
791,GPRO
792,GPX
793,GRBK
794,GRC
795,GRIF
796,GRPN
797,GRTS
798,GSBC
799,GSHD
800,GSIT
801,GTHX
802,GTLS
803,GTN
804,GTS
805,GTT
806,GTY
807,GTYH
808,GVA
809,GWB
810,GWGH
811,GWRS
812,HA
813,HABT
814,HAE
815,HAFC
816,HALL
817,HALO
818,HARP
819,HASI
820,HAYN
821,HBB
822,HBCP
823,HBMD
824,HBNC
825,HCAT
826,HCC
827,HCCI
828,HCI
829,HCKT
830,HCSG
831,HEES
832,HELE
833,HFFG
834,HFWA
835,HI
836,HIBB
837,HIFS
838,HL
839,HLI
840,HLIO
841,HLIT
842,HLNE
843,HLX
844,HMHC
845,HMN
846,HMST
847,HMSY
848,HMTV
849,HNGR
850,HNI
851,HNRG
852,HOFT
853,HOMB
854,HOME
855,HONE
856,HOOK
857,HOPE
858,HPR
859,HQY
860,HR
861,HRI
862,HRTG
863,HRTX
864,HSC
865,HSII
866,HSKA
867,HSTM
868,HT
869,HTBI
870,HTBK
871,HTH
872,HTLD
873,HTLF
874,HTZ
875,HUBG
876,HUD
877,HURC
878,HURN
879,HVT
880,HWBK
881,HWC
882,HWKN
883,HY
884,HZO
885,I
886,IBCP
887,IBKC
888,IBOC
889,IBP
890,IBTX
891,ICD
892,ICFI
893,ICHR
894,ICPT
895,IDCC
896,IDEX
897,IDT
898,IESC
899,IHC
900,III
901,IIIN
902,IIIV
903,IIN
904,IIPR
905,IIVI
906,ILPT
907,IMAX
908,IMGN
909,IMKTA
910,IMMR
911,IMMU
912,IMXI
913,INBK
914,INDB
915,INFN
916,INGN
917,INN
918,INO
919,INOV
920,INS
921,INSE
922,INSG
923,INSM
924,INSP
925,INST
926,INSW
927,INT
928,INTL
929,INVA
930,INWK
931,IOSP
932,IOTS
933,IOVA
934,IPAR
935,IPHI
936,IPHS
937,IPI
938,IRBT
939,IRDM
940,IRET
941,IRMD
942,IRT
943,IRTC
944,IRWD
945,ISBC
946,ISTR
947,ITCI
948,ITGR
949,ITI
950,ITIC
951,ITRI
952,IVC
953,IVR
954,JACK
955,JAG
956,JAX
957,JBSS
958,JBT
959,JCAP
960,JCOM
961,JCP
962,JELD
963,JILL
964,JJSF
965,JNCE
966,JOE
967,JOUT
968,JRVR
969,JYNT
970,KAI
971,KALA
972,KALU
973,KALV
974,KAMN
975,KBAL
976,KBH
977,KBR
978,KDMN
979,KE
980,KELYA
981,KEM
982,KFRC
983,KFY
984,KIDS
985,KIN
986,KLDO
987,KLXE
988,KMT
989,KN
990,KNL
991,KNSA
992,KNSL
993,KOD
994,KOP
995,KPTI
996,KRA
997,KREF
998,KRG
999,KRNY
1000,KRO
1001,KRTX
1002,KRUS
1003,KRYS
1004,KTB
1005,KTOS
1006,KURA
1007,KVHI
1008,KW
1009,KWR
1010,KZR
1011,LADR
1012,LANC
1013,LAND
1014,LASR
1015,LAUR
1016,LAWS
1017,LBAI
1018,LBC
1019,LBRT
1020,LC
1021,LCI
1022,LCII
1023,LCNB
1024,LCTX
1025,LCUT
1026,LDL
1027,LE
1028,LEAF
1029,LEE
1030,LEGH
1031,LEVL
1032,LFVN
1033,LGIH
1034,LGND
1035,LHCG
1036,LILA
1037,LILAK
1038,LIND
1039,LITE
1040,LIVN
1041,LIVX
1042,LJPC
1043,LKFN
1044,LKSD
1045,LL
1046,LLNW
1047,LMAT
1048,LMNR
1049,LMNX
1050,LNDC
1051,LNN
1052,LNTH
1053,LOB
1054,LOCO
1055,LOGC
1056,LORL
1057,LOVE
1058,LPG
1059,LPI
1060,LPSN
1061,LPX
1062,LQDA
1063,LQDT
1064,LRN
1065,LSCC
1066,LTC
1067,LTHM
1068,LTRPA
1069,LTS
1070,LVGO
1071,LXFR
1072,LXP
1073,LXRX
1074,LXU
1075,LZB
1076,MANT
1077,MATW
1078,MATX
1079,MAXR
1080,MBI
1081,MBII
1082,MBIN
1083,MBIO
1084,MBUU
1085,MBWM
1086,MC
1087,MCB
1088,MCBC
1089,MCFT
1090,MCHX
1091,MCRB
1092,MCRI
1093,MCS
1094,MDC
1095,MDCA
1096,MDGL
1097,MDP
1098,MDRX
1099,MEC
1100,MED
1101,MEDP
1102,MEET
1103,MEI
1104,MEIP
1105,MESA
1106,METC
1107,MFIN
1108,MFNC
1109,MFSF
1110,MG
1111,MGEE
1112,MGLN
1113,MGNX
1114,MGPI
1115,MGRC
1116,MGTA
1117,MGTX
1118,MGY
1119,MHO
1120,MIK
1121,MINI
1122,MIRM
1123,MITK
1124,MITT
1125,MJCO
1126,MLAB
1127,MLHR
1128,MLI
1129,MLND
1130,MLP
1131,MLR
1132,MLVF
1133,MMAC
1134,MMI
1135,MMS
1136,MMSI
1137,MNK
1138,MNKD
1139,MNLO
1140,MNOV
1141,MNR
1142,MNRL
1143,MNRO
1144,MNSB
1145,MNTA
1146,MOBL
1147,MOD
1148,MODN
1149,MOFG
1150,MORF
1151,MOV
1152,MPAA
1153,MPB
1154,MPX
1155,MR
1156,MRC
1157,MRCY
1158,MRKR
1159,MRLN
1160,MRNS
1161,MRSN
1162,MRTN
1163,MRTX
1164,MSA
1165,MSBI
1166,MSEX
1167,MSGN
1168,MSON
1169,MSTR
1170,MTDR
1171,MTEM
1172,MTH
1173,MTOR
1174,MTRN
1175,MTRX
1176,MTSC
1177,MTSI
1178,MTW
1179,MTX
1180,MTZ
1181,MUSA
1182,MVBF
1183,MWA
1184,MXL
1185,MYE
1186,MYGN
1187,MYOK
1188,MYRG
1189,NAT
1190,NATH
1191,NATR
1192,NAV
1193,NBEV
1194,NBHC
1195,NBN
1196,NBR
1197,NBTB
1198,NC
1199,NCBS
1200,NCMI
1201,NCSM
1202,NDLS
1203,NE
1204,NEO
1205,NEOG
1206,NERV
1207,NESR
1208,NEXT
1209,NFBK
1210,NG
1211,NGHC
1212,NGM
1213,NGS
1214,NGVC
1215,NGVT
1216,NHC
1217,NHI
1218,NINE
1219,NJR
1220,NKSH
1221,NL
1222,NMIH
1223,NMRK
1224,NNBR
1225,NNI
1226,NODK
1227,NOG
1228,NOVA
1229,NOVT
1230,NP
1231,NPK
1232,NPO
1233,NPTN
1234,NR
1235,NRC
1236,NRIM
1237,NSA
1238,NSIT
1239,NSP
1240,NSSC
1241,NSTG
1242,NTB
1243,NTCT
1244,NTGN
1245,NTGR
1246,NTLA
1247,NTRA
1248,NTUS
1249,NUVA
1250,NVAX
1251,NVCR
1252,NVEC
1253,NVEE
1254,NVRO
1255,NVTA
1256,NWBI
1257,NWE
1258,NWFL
1259,NWLI
1260,NWN
1261,NWPX
1262,NX
1263,NXGN
1264,NXRT
1265,NXTC
1266,NYMT
1267,OAS
1268,OBNK
1269,OCFC
1270,OCN
1271,OCUL
1272,OCX
1273,ODC
1274,ODP
1275,ODT
1276,OEC
1277,OFG
1278,OFIX
1279,OFLX
1280,OGS
1281,OII
1282,OIS
1283,OLBK
1284,OLP
1285,OMCL
1286,OMER
1287,OMI
1288,OMN
1289,ONB
1290,ONDK
1291,OOMA
1292,OPB
1293,OPBK
1294,OPI
1295,OPK
1296,OPRX
1297,OPTN
1298,ORA
1299,ORBC
1300,ORC
1301,ORGO
1302,ORRF
1303,OSBC
1304,OSG
1305,OSIS
1306,OSMT
1307,OSPN
1308,OSTK
1309,OSUR
1310,OSW
1311,OTTR
1312,OVBC
1313,OVLY
1314,OXM
1315,PACB
1316,PACD
1317,PAHC
1318,PAR
1319,PARR
1320,PATK
1321,PAYS
1322,PBFS
1323,PBH
1324,PBI
1325,PBIP
1326,PBPB
1327,PBYI
1328,PCB
1329,PCH
1330,PCRX
1331,PCSB
1332,PCYO
1333,PDCE
1334,PDCO
1335,PDFS
1336,PDLB
1337,PDLI
1338,PDM
1339,PEB
1340,PEBK
1341,PEBO
1342,PEGI
1343,PEI
1344,PENN
1345,PETQ
1346,PETS
1347,PFBC
1348,PFBI
1349,PFGC
1350,PFIS
1351,PFNX
1352,PFS
1353,PFSI
1354,PGC
1355,PGNX
1356,PGTI
1357,PHAS
1358,PHR
1359,PHUN
1360,PHX
1361,PI
1362,PICO
1363,PIRS
1364,PJT
1365,PKBK
1366,PKD
1367,PKE
1368,PKOH
1369,PLAB
1370,PLAY
1371,PLCE
1372,PLMR
1373,PLOW
1374,PLPC
1375,PLSE
1376,PLT
1377,PLUG
1378,PLUS
1379,PLXS
1380,PMBC
1381,PMT
1382,PNM
1383,PNRG
1384,PNTG
1385,POL
1386,POR
1387,POWI
1388,POWL
1389,PPBI
1390,PQG
1391,PRA
1392,PRAA
1393,PRFT
1394,PRGS
1395,PRGX
1396,PRIM
1397,PRK
1398,PRLB
1399,PRMW
1400,PRNB
1401,PRO
1402,PROS
1403,PROV
1404,PRPL
1405,PRSC
1406,PRSP
1407,PRTA
1408,PRTH
1409,PRTK
1410,PRTY
1411,PRVL
1412,PSB
1413,PSMT
1414,PSN
1415,PSNL
1416,PTCT
1417,PTE
1418,PTGX
1419,PTLA
1420,PTN
1421,PTSI
1422,PTVCB
1423,PUB
1424,PUMP
1425,PVAC
1426,PVBC
1427,PWOD
1428,PYX
1429,PZN
1430,PZZA
1431,QADA
1432,QCRH
1433,QDEL
1434,QEP
1435,QLYS
1436,QNST
1437,QTRX
1438,QTS
1439,QTWO
1440,QUAD
1441,QUOT
1442,RAD
1443,RAMP
1444,RARE
1445,RARX
1446,RAVN
1447,RBB
1448,RBBN
1449,RBCAA
1450,RBNC
1451,RC
1452,RCII
1453,RCKT
1454,RCKY
1455,RCM
1456,RCUS
1457,RDFN
1458,RDI
1459,RDN
1460,RDNT
1461,RDUS
1462,REAL
1463,RECN
1464,REGI
1465,REI
1466,REPH
1467,REPL
1468,RES
1469,RESI
1470,RETA
1471,REV
1472,REVG
1473,REX
1474,REXR
1475,RFL
1476,RGCO
1477,RGEN
1478,RGNX
1479,RGR
1480,RGS
1481,RH
1482,RHP
1483,RICK
1484,RIGL
1485,RILY
1486,RLGT
1487,RLGY
1488,RLH
1489,RLI
1490,RLJ
1491,RM
1492,RMAX
1493,RMBI
1494,RMBS
1495,RMNI
1496,RMR
1497,RMTI
1498,RNET
1499,RNST
1500,ROAD
1501,ROCK
1502,ROG
1503,ROIC
1504,ROLL
1505,ROSE
1506,RPD
1507,RPT
1508,RRBI
1509,RRD
1510,RRGB
1511,RRR
1512,RRTS
1513,RST
1514,RTIX
1515,RTRX
1516,RTW
1517,RUBI
1518,RUBY
1519,RUN
1520,RUSHA
1521,RUSHB
1522,RUTH
1523,RVI
1524,RVNC
1525,RVSB
1526,RWT
1527,RXN
1528,RYAM
1529,RYI
1530,RYTM
1531,SAFE
1532,SAFM
1533,SAFT
1534,SAH
1535,SAIA
1536,SAIC
1537,SAIL
1538,SALT
1539,SAM
1540,SAMG
1541,SANM
1542,SASR
1543,SAVE
1544,SB
1545,SBBP
1546,SBBX
1547,SBCF
1548,SBH
1549,SBOW
1550,SBRA
1551,SBSI
1552,SBT
1553,SCHL
1554,SCHN
1555,SCL
1556,SCOR
1557,SCS
1558,SCSC
1559,SCU
1560,SCVL
1561,SCWX
1562,SD
1563,SDRL
1564,SEAS
1565,SEM
1566,SENEA
1567,SENS
1568,SF
1569,SFBS
1570,SFE
1571,SFIX
1572,SFL
1573,SFNC
1574,SFST
1575,SGA
1576,SGC
1577,SGH
1578,SGMO
1579,SGMS
1580,SGRY
1581,SHAK
1582,SHBI
1583,SHEN
1584,SHO
1585,SHOO
1586,SHSP
1587,SIBN
1588,SIC
1589,SIEB
1590,SIEN
1591,SIG
1592,SIGA
1593,SIGI
1594,SILK
1595,SITE
1596,SJI
1597,SJW
1598,SKT
1599,SKY
1600,SKYW
1601,SLAB
1602,SLCA
1603,SLCT
1604,SLDB
1605,SLP
1606,SM
1607,SMBC
1608,SMBK
1609,SMHI
1610,SMMF
1611,SMP
1612,SMPL
1613,SMTC
1614,SNBR
1615,SNCR
1616,SND
1617,SNDX
1618,SNR
1619,SOI
1620,SOLY
1621,SONA
1622,SONM
1623,SONO
1624,SP
1625,SPAR
1626,SPFI
1627,SPKE
1628,SPNE
1629,SPOK
1630,SPPI
1631,SPRO
1632,SPSC
1633,SPTN
1634,SPWH
1635,SPWR
1636,SPXC
1637,SR
1638,SRCE
1639,SRDX
1640,SRG
1641,SRI
1642,SRNE
1643,SRRK
1644,SRT
1645,SSB
1646,SSD
1647,SSP
1648,SSTI
1649,SSTK
1650,SSYS
1651,STAA
1652,STAG
1653,STAR
1654,STBA
1655,STC
1656,STFC
1657,STIM
1658,STML
1659,STMP
1660,STNG
1661,STOK
1662,STRA
1663,STRL
1664,STRO
1665,STRS
1666,STXB
1667,SUM
1668,SUPN
1669,SVMK
1670,SVRA
1671,SWAV
1672,SWM
1673,SWN
1674,SWX
1675,SXC
1676,SXI
1677,SXT
1678,SYBT
1679,SYBX
1680,SYKE
1681,SYNA
1682,SYNH
1683,SYNL
1684,SYRS
1685,SYX
1686,TACO
1687,TALO
1688,TAST
1689,TBBK
1690,TBI
1691,TBIO
1692,TBK
1693,TBNK
1694,TBPH
1695,TCBK
1696,TCDA
1697,TCFC
1698,TCI
1699,TCMD
1700,TCRR
1701,TCS
1702,TCX
1703,TDOC
1704,TDW
1705,TECD
1706,TELL
1707,TEN
1708,TENB
1709,TERP
1710,TESS
1711,TEUM
1712,TEX
1713,TG
1714,TGH
1715,TGI
1716,TGNA
1717,TGTX
1718,TH
1719,THC
1720,THFF
1721,THOR
1722,THR
1723,THRM
1724,TILE
1725,TIPT
1726,TISI
1727,TITN
1728,TIVO
1729,TK
1730,TLRA
1731,TLRD
1732,TLYS
1733,TMDX
1734,TMHC
1735,TMP
1736,TMST
1737,TNAV
1738,TNC
1739,TNDM
1740,TNET
1741,TNK
1742,TOCA
1743,TORC
1744,TOWN
1745,TPB
1746,TPC
1747,TPCO
1748,TPH
1749,TPIC
1750,TPRE
1751,TPTX
1752,TR
1753,TRC
1754,TREC
1755,TREX
1756,TRHC
1757,TRMK
1758,TRNO
1759,TRNS
1760,TROX
1761,TRS
1762,TRST
1763,TRTN
1764,TRTX
1765,True
1766,TRUP
1767,TRWH
1768,TRXC
1769,TSBK
1770,TSC
1771,TSE
1772,TTEC
1773,TTEK
1774,TTGT
1775,TTI
1776,TTMI
1777,TTS
1778,TUP
1779,TUSK
1780,TVTY
1781,TWI
1782,TWIN
1783,TWNK
1784,TWST
1785,TXMD
1786,TXRH
1787,TYME
1788,TZOO
1789,UBA
1790,UBSI
1791,UBX
1792,UCBI
1793,UCFC
1794,UCTT
1795,UE
1796,UEC
1797,UEIC
1798,UFCS
1799,UFI
1800,UFPI
1801,UFPT
1802,UHT
1803,UIHC
1804,UIS
1805,ULH
1806,UMBF
1807,UMH
1808,UNB
1809,UNF
1810,UNFI
1811,UNIT
1812,UNT
1813,UNTY
1814,UPLD
1815,UPWK
1816,USCR
1817,USLM
1818,USNA
1819,USPH
1820,USWS
1821,USX
1822,UTL
1823,UTMD
1824,UUUU
1825,UVE
1826,UVSP
1827,UVV
1828,VAC
1829,VALU
1830,VAPO
1831,VBIV
1832,VBTX
1833,VC
1834,VCEL
1835,VCRA
1836,VCYT
1837,VEC
1838,VECO
1839,VG
1840,VGR
1841,VHC
1842,VHI
1843,VIAV
1844,VICR
1845,VIVO
1846,VKTX
1847,VLGEA
1848,VLY
1849,VNCE
1850,VRA
1851,VRAY
1852,VRCA
1853,VREX
1854,VRNS
1855,VRNT
1856,VRRM
1857,VRS
1858,VRTS
1859,VRTU
1860,VRTV
1861,VSEC
1862,VSH
1863,VSLR
1864,VSTO
1865,VVI
1866,VYGR
1867,WABC
1868,WAFD
1869,WASH
1870,WATT
1871,WBT
1872,WD
1873,WDFC
1874,WDR
1875,WERN
1876,WETF
1877,WEYS
1878,WGO
1879,WHD
1880,WHG
1881,WIFI
1882,WINA
1883,WING
1884,WIRE
1885,WK
1886,WLDN
1887,WLFC
1888,WLH
1889,WLL
1890,WMC
1891,WMGI
1892,WMS
1893,WNC
1894,WNEB
1895,WOR
1896,WOW
1897,WPG
1898,WRE
1899,WRLD
1900,WRTC
1901,WSBC
1902,WSBF
1903,WSC
1904,WSFS
1905,WSR
1906,WTBA
1907,WTI
1908,WTRE
1909,WTRH
1910,WTS
1911,WVE
1912,WW
1913,WWW
1914,XAN
1915,XBIT
1916,XELA
1917,XENT
1918,XERS
1919,XFOR
1920,XHR
1921,XLRN
1922,XNCR
1923,XPER
1924,XXII
1925,YCBD
1926,YELP
1927,YETI
1928,YGYI
1929,YMAB
1930,YORW
1931,YRCW
1932,ZAGG
1933,ZEUS
1934,ZGNX
1935,ZIOP
1936,ZIXI
1937,ZUMZ
1938,ZUO
1939,ZYNE
1940,ZYXI
